statefips,age,hrslastwk,unempwks,wagehr,earnwk,ownchild,educ,gender,metro,race,hispanic,marstatus,lfstatus,ottipcomm,hourly,unionstatus
GA,44,40,NA,45,2025,0,16,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
AZ,30,40,NA,13.5,940,1,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
CA,33,40,NA,15,600,2,12,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
GA,40,40,NA,8.8,352,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
HI,32,40,NA,16,640,2,12,Male,Metro,Other,Non-hispanic,Never married,Employed,No,Hourly,Non-union
FL,49,NA,3,NA,NA,0,13,Male,Metro,White,Non-hispanic,Divorced,Unemployed,NA,NA,NA
ME,59,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
HI,46,50,NA,NA,1400,0,12,Male,Metro,Other,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
OH,40,55,NA,NA,5214.41,2,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
WY,47,37,NA,12.5,462.5,0,12,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
FL,40,40,NA,13,288.46,1,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,32,1,NA,40,1920,2,12,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
ID,47,34,NA,9,216,1,7.5,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NY,36,80,NA,31.49,3036.25,1,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
MS,47,40,NA,22,880,0,13,Female,Metro,Black,Non-hispanic,Widowed,Employed,No,Hourly,Union
TX,53,40,NA,11,440,0,12,Female,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
CA,48,NA,9,NA,NA,0,13,Male,Metro,White,Hispanic,Married,Unemployed,NA,NA,NA
NY,59,40,NA,NA,576.92,0,12,Female,Metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Union
CA,48,40,NA,NA,1384.61,2,12,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
AL,34,NA,NA,NA,NA,0,10,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
GA,57,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
KY,40,40,NA,40,1000,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MO,30,48,NA,13.5,540,2,12,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
NY,43,39,NA,21,769.23,0,15,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Union
TN,59,40,NA,13,520,0,12,Female,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
TX,48,50,NA,NA,1200,1,12,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
FL,42,40,NA,9.5,380,0,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
WY,30,24,NA,30,720,2,16,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WY,43,40,NA,12.5,500,1,13,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NC,36,40,NA,10,470.58,2,12,Male,Non-metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
TX,33,43,NA,10.5,420,0,13,Male,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
CA,55,40,NA,10,400,0,12,Female,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
VT,57,50,NA,NA,1400,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MS,59,NA,NA,NA,NA,0,13,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
TX,40,40,NA,NA,326,0,11,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
WV,48,40,NA,11.61,464.4,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NV,57,NA,NA,NA,NA,0,12,Female,Metro,Other,Non-hispanic,Never married,Not in LF,NA,NA,NA
NY,58,40,NA,NA,980,0,12,Female,Metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
NM,31,40,NA,17,538,4,13,Female,Non-metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
OK,55,40,NA,25,1000,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Union
NH,34,50,NA,29.5,865,2,12,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
IA,56,25,NA,10,250,0,14,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
GA,43,40,NA,NA,2000,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
ND,48,34,NA,NA,1134.61,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,53,49,NA,16,784,0,12,Female,Metro,White,Non-hispanic,Widowed,Employed,No,Hourly,Non-union
NJ,36,45,NA,NA,1442,2,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
CA,32,40,NA,28,1120,0,14,Female,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Union
IN,52,NA,NA,NA,NA,0,9,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
TN,31,NA,8,NA,NA,0,12,Male,Non-metro,White,Non-hispanic,Never married,Unemployed,NA,NA,NA
TX,51,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NM,44,50,NA,NA,3291.23,2,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
CA,59,40,NA,NA,1350,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IA,31,35,NA,9.25,323.75,2,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
OK,38,40,NA,NA,538.46,2,12,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
WI,58,40,NA,14,1923,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,59,55,NA,32.6,1793,0,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TN,34,32,NA,NA,1500,2,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
PA,56,NA,NA,NA,NA,1,11,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NC,57,6,NA,NA,120,0,13,Female,Metro,Other,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
MA,57,45,NA,18,1395,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
CA,42,40,NA,NA,865.38,0,13,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
HI,53,32,NA,17,1500,0,16,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Union
TX,59,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
SC,37,NA,NA,NA,NA,0,12,Male,Non-metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
IL,32,35,NA,20,400,0,15,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
VA,57,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
DE,40,40,NA,17.5,721.15,2,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
AL,55,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
ND,56,40,NA,NA,1615.38,0,18,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
PA,36,42,NA,16,640,1,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,49,50,NA,23,920,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,36,40,NA,18,720,1,12,Female,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
TX,37,48,NA,NA,480,1,12,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
VA,46,32,NA,NA,300,0,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,52,NA,NA,NA,NA,1,14,Male,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
ND,44,55,NA,NA,2269.23,1,15,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
SC,54,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,31,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
CA,49,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
DC,50,40,NA,NA,570,0,14,Male,Metro,Black,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
KS,47,40,NA,39.45,1578,0,14,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Union
WY,55,58,NA,NA,3531.79,0,12,Male,Non-metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
MA,56,40,NA,NA,576,0,18,Male,Metro,Black,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
WY,37,48,NA,30,1200,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NV,40,40,NA,NA,1200,0,5.5,Male,Metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
PA,55,40,NA,20,800,1,15,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NH,58,NA,NA,NA,NA,0,11,Female,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
NH,33,NA,NA,NA,NA,3,13,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NJ,57,60,NA,NA,1365,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MA,53,30,NA,12.5,375,1,12,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
FL,54,NA,NA,NA,NA,3,14,Female,Metro,Black,Non-hispanic,Divorced,Not in LF,NA,NA,NA
TX,58,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
TX,54,55,NA,NA,4443.97,0,13,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
GA,56,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
RI,36,35,NA,21,735,0,14,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Union
TX,59,40,NA,NA,1346.15,0,14,Female,Metro,White,Non-hispanic,Divorced,Employed,Yes,Non-hourly,Non-union
IN,31,65,NA,NA,1900,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MN,51,57,NA,NA,800,0,12,Male,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IN,46,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
SC,42,40,NA,NA,700,1,13,Male,Metro,Black,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IL,46,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
SC,45,40,NA,NA,600,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
NV,34,45,NA,11,137.5,0,12,Female,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
WY,31,50,NA,NA,1057.69,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
OK,50,40,NA,12,480,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
SC,33,NA,NA,NA,NA,3,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OH,30,44,NA,21.75,1033.15,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
KY,41,NA,NA,NA,NA,2,11,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
ND,58,35,NA,NA,1000,0,16,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
OH,35,16,NA,15,15,2,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
AK,33,40,NA,NA,500,0,14,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
WV,59,NA,NA,NA,NA,0,0,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WI,56,72,NA,32.79,1409.96,0,12,Male,Non-metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Union
NM,42,40,NA,18.25,769,0,12,Male,Non-metro,Other,Non-hispanic,Never married,Employed,No,Hourly,Non-union
OK,47,40,NA,20,800,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MT,58,40,NA,24.39,975.6,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
ND,41,NA,NA,NA,NA,2,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NY,59,NA,NA,NA,NA,0,14,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,50,60,NA,NA,961.53,0,12,Male,Metro,White,Hispanic,Married,Employed,Yes,Non-hourly,Non-union
RI,42,40,NA,NA,1653.84,2,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
CA,48,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
CA,36,58,NA,12.5,500,2,12,Female,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
FL,54,45,NA,10,400,0,14,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CA,47,NA,NA,NA,NA,2,9,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
TX,32,20,NA,NA,184,1,15,Female,Metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
TX,39,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
HI,39,24,NA,13.7,328.8,1,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TN,51,40,NA,NA,576.92,0,13,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NV,33,NA,NA,NA,NA,2,15,Female,Non-metro,White,Hispanic,Married,Not in LF,NA,NA,NA
TN,35,40,NA,NA,596.15,3,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
CA,36,40,NA,14,560,3,14,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
MT,31,40,NA,14,560,0,14,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MO,47,56,NA,13,672,0,10,Male,Metro,White,Non-hispanic,Divorced,Employed,Yes,Hourly,Non-union
NC,56,55,NA,NA,600,0,12,Female,Non-metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
NY,52,40,NA,31,1153.84,0,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
FL,44,50,NA,NA,1442.3,0,14,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
AL,48,40,NA,10.51,369,0,12,Female,Non-metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
TN,41,70,NA,NA,2900.74,2,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
IA,30,36,NA,8.5,306,4,12,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
MI,54,NA,NA,NA,NA,0,12,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
AZ,57,40,NA,40,1500,0,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,39,40,NA,NA,1673.07,2,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,30,40,NA,18,720,0,12,Male,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
WV,48,55,NA,NA,3954.71,1,18,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NM,57,40,NA,18.33,700,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,40,NA,NA,NA,NA,2,14,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
SD,58,40,NA,NA,769.23,0,14,Female,Non-metro,Other,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
NV,37,15,NA,8,390,1,9,Female,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
KY,44,40,NA,22.5,961.53,2,12,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
MA,57,40,NA,NA,3762.16,0,18,Male,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
AL,35,40,NA,25,1000,1,12,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
NH,53,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
PA,50,48,NA,38,1520,0,11,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
PA,44,50,NA,NA,1961.53,0,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NJ,50,NA,26,NA,NA,1,12,Female,Metro,White,Non-hispanic,Divorced,Unemployed,NA,NA,NA
IA,45,91,NA,22.5,1575,1,12,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
CO,40,44,NA,23.5,940,1,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
NE,56,45,NA,NA,980,0,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NJ,51,8,NA,35,415,2,15,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
PA,56,50,NA,36,1400,0,10,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Union
LA,41,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
DC,53,NA,NA,NA,NA,0,12,Female,Metro,Other,Non-hispanic,Never married,Not in LF,NA,NA,NA
MI,59,NA,NA,NA,NA,0,12,Male,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NE,41,40,NA,14,560,0,2.5,Male,Non-metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
IL,52,30,NA,8,240,0,13,Male,Metro,Black,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
CA,36,NA,NA,NA,NA,1,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WV,57,40,NA,23.11,921,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
AL,35,NA,NA,NA,NA,2,9,Female,Metro,Other,Non-hispanic,Divorced,Not in LF,NA,NA,NA
PA,54,NA,NA,NA,NA,0,12,Female,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
CA,31,40,NA,15.16,606.4,1,12,Female,Non-metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
MS,40,NA,NA,NA,NA,3,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WV,57,25,NA,NA,1061,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
ND,40,60,NA,45,3118.71,3,15,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
MN,48,40,NA,25,1923,0,13,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
OR,54,60,NA,NA,1153.84,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
ND,37,35,NA,15,525,0,7.5,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
WI,53,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WI,37,45,NA,NA,1346.15,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
ND,39,35,NA,24,675,0,13,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
IL,55,24,NA,19,456,0,14,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,37,NA,NA,NA,NA,2,12,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
WI,45,43,NA,30.5,1448.75,1,16,Female,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
ND,45,40,NA,30,1200,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
ND,58,80,NA,NA,1538.46,0,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
WV,32,NA,NA,NA,NA,3,11,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
OK,30,NA,3,NA,NA,0,14,Female,Metro,White,Non-hispanic,Never married,Unemployed,NA,NA,NA
HI,56,40,NA,NA,1346,0,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NC,44,NA,NA,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
WA,42,NA,19,NA,NA,0,13,Female,Metro,White,Non-hispanic,Never married,Unemployed,NA,NA,NA
NC,40,70,NA,NA,3022.41,4,18,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
VA,41,40,NA,20,800,2,9,Male,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
FL,54,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CA,58,40,NA,14.14,565.6,1,5.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
CA,37,32,NA,13.25,692,0,15,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
ND,37,40,NA,15,600,1,9,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WV,58,NA,NA,NA,NA,0,11,Male,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
MN,43,32,NA,17.65,810.4,0,0,Male,Non-metro,Black,Non-hispanic,Never married,Employed,Yes,Hourly,Union
TX,48,40,NA,NA,450,2,7.5,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
NV,49,35,NA,32.5,650,0,13,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,47,40,NA,16,1106,3,15,Male,Metro,Black,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
NJ,57,60,NA,NA,2307.69,0,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
CA,30,NA,NA,NA,NA,0,14,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
ME,58,55,NA,NA,1076.92,0,10,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
WA,49,40,NA,32,1280,3,16,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Union
AR,56,NA,NA,NA,NA,0,2.5,Male,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
LA,36,NA,NA,NA,NA,1,12,Female,Metro,Black,Non-hispanic,Married,Not in LF,NA,NA,NA
LA,53,40,NA,26,2480,0,12,Male,Metro,Black,Non-hispanic,Divorced,Employed,Yes,Hourly,Union
CA,31,40,NA,NA,961.53,0,16,Male,Metro,White,Hispanic,Never married,Employed,No,Non-hourly,Non-union
HI,36,48,NA,32,1650,2,14,Male,Metro,Other,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
MI,56,50,NA,NA,784.61,0,13,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NY,52,40,NA,NA,4690.24,3,18,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
ID,49,85,NA,14.2,1250,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
MS,54,NA,NA,NA,NA,0,12,Female,Non-metro,Black,Non-hispanic,Divorced,Not in LF,NA,NA,NA
VT,35,35,NA,13,455,2,10,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CA,36,24,NA,NA,700,3,14,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
MD,59,45,NA,21.49,967.05,0,11,Male,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
NE,56,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
GA,45,40,NA,NA,865.38,2,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
KS,55,40,NA,15.2,865,0,16,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
OH,58,40,NA,28.5,1140,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
GA,44,NA,NA,NA,NA,1,12,Female,Metro,Black,Non-hispanic,Divorced,Not in LF,NA,NA,NA
IA,57,NA,NA,NA,NA,0,13,Male,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
NC,30,40,NA,16,640,3,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
VT,59,38,NA,24,790,0,12,Female,Non-metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
GA,42,40,NA,NA,4434.82,3,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NE,36,30,NA,16,1095,2,15,Female,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
TN,57,24,NA,NA,865.38,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MS,41,40,NA,22,880,2,12,Male,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
OK,35,35,NA,10.25,358.75,3,10,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
FL,56,50,NA,NA,961.53,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,31,40,NA,NA,576.92,2,12,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
SC,30,45,NA,NA,730.76,0,18,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
UT,33,40,NA,19.62,784.8,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MA,54,25,NA,10,250,0,12,Male,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
SC,36,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NM,36,NA,NA,NA,NA,0,15,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NY,51,40,NA,27,1080,5,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
PA,43,40,NA,15,600,3,10,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MA,58,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OH,37,40,NA,14,560,0,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NJ,46,40,NA,NA,600,0,12,Male,Metro,Black,Hispanic,Married,Employed,No,Non-hourly,Non-union
